text,question,answer_term,ep,sp
" cinobufagin treatment. Western blots showed a decrease in nuclear p65 protein expression after exposure to different concentrations of cinobufagin, while the phosphorylation of GSK-3β was simultaneously increased. Transduction with constitutively active forms of GSK-3β could protect against the downregulation of p65 and upregulation of cleaved-PARP that are induced by cinobufagin treatment. However, combined treatment with cinobufagin and SB216367 resulted in a significant reduction in p65 and an increase in cleaved-PARP in U2OS cells. Altogether, these results show that cinobufagin is a promising agent for the treatment of OS. These studies are the first to reveal the involvement of the",cinobufagin acts as INDIRECT-UPREGULATOR for what entity? ,PARP,-1.0,-1.0
" decrease in nuclear p65 protein expression after exposure to different concentrations of cinobufagin, while the phosphorylation of GSK-3β was simultaneously increased. Transduction with constitutively active forms of GSK-3β could protect against the downregulation of p65 and upregulation of cleaved-PARP that are induced by cinobufagin treatment. However, combined treatment with cinobufagin and SB216367 resulted in a significant reduction in p65 and an increase in cleaved-PARP in U2OS cells. Altogether, these results show that cinobufagin is a promising agent for the treatment of OS. These studies are the first to reveal the involvement of the GSK-3β/NF-κB pathway in cinobufagin-induced apoptosis.",cinobufagin acts as INDIRECT-UPREGULATOR for what entity? ,PARP,-1.0,-1.0
" nuclear p65 protein expression after exposure to different concentrations of cinobufagin, while the phosphorylation of GSK-3β was simultaneously increased. Transduction with constitutively active forms of GSK-3β could protect against the downregulation of p65 and upregulation of cleaved-PARP that are induced by cinobufagin treatment. However, combined treatment with cinobufagin and SB216367 resulted in a significant reduction in p65 and an increase in cleaved-PARP in U2OS cells. Altogether, these results show that cinobufagin is a promising agent for the treatment of OS. These studies are the first to reveal the involvement of the GSK-3β/NF-κB pathway in cinobufagin-induced apoptosis.",SB216367 acts as INDIRECT-UPREGULATOR for what entity? ,PARP,-1.0,-1.0
" apoptosis in OS cells were also observed. The expression levels of several apoptotic proteins were assessed after cinobufagin treatment in U2OS cells. Among them, xIAP, cIAP-1, survivin and Bcl-2 levels decreased remarkably, while the levels of Bax and cleaved-PARP increased. Furthermore, we validated the inhibition of GSK-3β/NF-κB signaling following cinobufagin treatment. Western blots showed a decrease in nuclear p65 protein expression after exposure to different concentrations of cinobufagin, while the phosphorylation of GSK-3β was simultaneously increased. Transduction with constitutively active forms of GSK-3β could protect against the downregulation of p65 and upregulation of cleaved-PARP that are induced by cinobufagin",cinobufagin acts as INDIRECT-DOWNREGULATOR for what entity? ,GSK-3β,538.0,532.0
" apoptosis in OS cells were also observed. The expression levels of several apoptotic proteins were assessed after cinobufagin treatment in U2OS cells. Among them, xIAP, cIAP-1, survivin and Bcl-2 levels decreased remarkably, while the levels of Bax and cleaved-PARP increased. Furthermore, we validated the inhibition of GSK-3β/NF-κB signaling following cinobufagin treatment. Western blots showed a decrease in nuclear p65 protein expression after exposure to different concentrations of cinobufagin, while the phosphorylation of GSK-3β was simultaneously increased. Transduction with constitutively active forms of GSK-3β could protect against the downregulation of p65 and upregulation of cleaved-PARP that are induced by cinobufagin",cinobufagin acts as INDIRECT-DOWNREGULATOR for what entity? ,NF-κB,-1.0,-1.0
" treatment in U2OS cells. Among them, xIAP, cIAP-1, survivin and Bcl-2 levels decreased remarkably, while the levels of Bax and cleaved-PARP increased. Furthermore, we validated the inhibition of GSK-3β/NF-κB signaling following cinobufagin treatment. Western blots showed a decrease in nuclear p65 protein expression after exposure to different concentrations of cinobufagin while the phosphorylation of GSK-3β was simultaneously increased. Transduction with constitutively active forms of GSK-3β could protect against the downregulation of p65 and upregulation of cleaved-PARP that are induced by cinobufagin treatment. However, combined treatment with cinobufagin and SB216367 resulted in a significant reduction in p65 and an increase",cinobufagin acts as INDIRECT-DOWNREGULATOR for what entity? ,p65,298.0,295.0
" cinobufagin treatment. Western blots showed a decrease in nuclear p65 protein expression after exposure to different concentrations of cinobufagin, while the phosphorylation of GSK-3β was simultaneously increased. Transduction with constitutively active forms of GSK-3β could protect against the downregulation of p65 and upregulation of cleaved-PARP that are induced by cinobufagin treatment. However, combined treatment with cinobufagin and SB216367 resulted in a significant reduction in p65 and an increase in cleaved-PARP in U2OS cells. Altogether, these results show that cinobufagin is a promising agent for the treatment of OS. These studies are the first to reveal the involvement of the",cinobufagin acts as INDIRECT-DOWNREGULATOR for what entity? ,p65,70.0,67.0
" decrease in nuclear p65 protein expression after exposure to different concentrations of cinobufagin, while the phosphorylation of GSK-3β was simultaneously increased. Transduction with constitutively active forms of GSK-3β could protect against the downregulation of p65 and upregulation of cleaved-PARP that are induced by cinobufagin treatment. However, combined treatment with cinobufagin and SB216367 resulted in a significant reduction in p65 and an increase in cleaved-PARP in U2OS cells. Altogether, these results show that cinobufagin is a promising agent for the treatment of OS. These studies are the first to reveal the involvement of the GSK-3β/NF-κB pathway in cinobufagin-induced apoptosis.",cinobufagin acts as INDIRECT-DOWNREGULATOR for what entity? ,p65,24.0,21.0
" nuclear p65 protein expression after exposure to different concentrations of cinobufagin, while the phosphorylation of GSK-3β was simultaneously increased. Transduction with constitutively active forms of GSK-3β could protect against the downregulation of p65 and upregulation of cleaved-PARP that are induced by cinobufagin treatment. However, combined treatment with cinobufagin and SB216367 resulted in a significant reduction in p65 and an increase in cleaved-PARP in U2OS cells. Altogether, these results show that cinobufagin is a promising agent for the treatment of OS. These studies are the first to reveal the involvement of the GSK-3β/NF-κB pathway in cinobufagin-induced apoptosis.",SB216367 acts as INDIRECT-DOWNREGULATOR for what entity? ,p65,12.0,9.0
" structure of Aurora kinase A suggests the potential to improve the activity of the ligands by decreasing the steric clash with Val147 and Leu139 and by increasing hydrophobic contact with Leu139 and Gly216 residues in the solvent-exposed region of the enzyme. Based on these suggestions, the rational redesign of furanopyrimidine 24 (clog P=7.41; Aurora A IC(50) =43 nM; HCT-116 IC(50) =400 nM) led to the identification of quinazoline 67 (clog P=5.28; Aurora A IC(50) =25 nM; HCT-116 IC(50) =23 nM). Rat in vivo pharmacokinetic studies showed that 67 has better systemic exposure after i.v. administration than 24, and holds",furanopyrimidine acts as INHIBITOR for what entity? ,Aurora A,-1.0,-1.0
